pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,dates_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
2.1.1.9,2,1,1,9,1.48,462573.1,5801470.8,1,24,24,2021-04-13,2021-04-25,Soil organic carbon,SOC,M%,DIN ISO 10694,19
2.1.1.10,2,1,1,10,1.5,462573.1,5801470.8,1,24,24,2021-04-13,2021-04-25,Total carbon,TC,M%,DIN ISO 10694,19
2.1.1.11,2,1,1,11,0.17,462573.1,5801470.8,1,24,24,2021-04-13,2021-04-25,Totoal nitrogen,TN,M%,DIN ISO 10694,19
2.6.6.1,2,6,6,1,37.32,462659.3,5801600.1,1,4,4,2018-04-12,2018-04-13,Clay,Cl,M%,DIN ISO 11277,19
2.6.6.2,2,6,6,2,8.87,462659.3,5801600.1,1,4,4,2018-04-12,2018-04-13,Fine silt,fSi,M%,DIN ISO 11277,19
2.6.6.3,2,6,6,3,8.66,462659.3,5801600.1,1,4,4,2018-04-12,2018-04-13,Middle silt,mSi,M%,DIN ISO 11277,19
2.6.6.4,2,6,6,4,10.68,462659.3,5801600.1,1,4,4,2018-04-12,2018-04-13,Coarse silt,cSi,M%,DIN ISO 11277,19
2.6.6.5,2,6,6,5,16.09,462659.3,5801600.1,1,4,4,2018-04-12,2018-04-13,Fine sand,fSa,M%,DIN ISO 11277,19
2.6.6.6,2,6,6,6,14.45,462659.3,5801600.1,1,4,4,2018-04-12,2018-04-13,Middle sand,mSa,M%,DIN ISO 11277,19
2.6.6.7,2,6,6,7,3.93,462659.3,5801600.1,1,4,4,2018-04-12,2018-04-13,Coarse sand,cSa,M%,DIN ISO 11277,19
2.6.6.8,2,6,6,8,6.7,462659.3,5801600.1,1,4,4,2018-04-12,2018-04-13,soil pH,pH,,DIN ISO 10390,19
2.6.6.9,2,6,6,9,1.27,462659.3,5801600.1,1,4,4,2018-04-12,2018-04-13,Soil organic carbon,SOC,M%,DIN ISO 10694,19
2.6.6.10,2,6,6,10,1.5,462659.3,5801600.1,1,4,4,2018-04-12,2018-04-13,Total carbon,TC,M%,DIN ISO 10694,19
2.6.6.11,2,6,6,11,0.16,462659.3,5801600.1,1,4,4,2018-04-12,2018-04-13,Totoal nitrogen,TN,M%,DIN ISO 10694,19
2.6.6.12,2,6,6,12,7.2,462659.3,5801600.1,1,4,4,2018-04-12,2018-04-13,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",19
2.6.6.13,2,6,6,13,35.0,462659.3,5801600.1,1,4,4,2018-04-12,2018-04-13,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",19
2.6.6.14,2,6,6,14,13.2,462659.3,5801600.1,1,4,4,2018-04-12,2018-04-13,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR,19
2.7.7.1,2,7,7,1,3.98,462691.8,5801721.3,1,4,4,2018-04-12,2018-04-13,Clay,Cl,M%,DIN ISO 11277,19
2.7.7.2,2,7,7,2,1.43,462691.8,5801721.3,1,4,4,2018-04-12,2018-04-13,Fine silt,fSi,M%,DIN ISO 11277,19
2.7.7.3,2,7,7,3,1.38,462691.8,5801721.3,1,4,4,2018-04-12,2018-04-13,Middle silt,mSi,M%,DIN ISO 11277,19
2.7.7.4,2,7,7,4,8.04,462691.8,5801721.3,1,4,4,2018-04-12,2018-04-13,Coarse silt,cSi,M%,DIN ISO 11277,19
2.7.7.5,2,7,7,5,34.88,462691.8,5801721.3,1,4,4,2018-04-12,2018-04-13,Fine sand,fSa,M%,DIN ISO 11277,19
2.7.7.6,2,7,7,6,42.74,462691.8,5801721.3,1,4,4,2018-04-12,2018-04-13,Middle sand,mSa,M%,DIN ISO 11277,19
2.7.7.7,2,7,7,7,7.56,462691.8,5801721.3,1,4,4,2018-04-12,2018-04-13,Coarse sand,cSa,M%,DIN ISO 11277,19
2.7.7.8,2,7,7,8,6.7,462691.8,5801721.3,1,4,4,2018-04-12,2018-04-13,soil pH,pH,,DIN ISO 10390,19
2.7.7.9,2,7,7,9,0.62,462691.8,5801721.3,1,4,4,2018-04-12,2018-04-13,Soil organic carbon,SOC,M%,DIN ISO 10694,19
2.7.7.10,2,7,7,10,0.62,462691.8,5801721.3,1,4,4,2018-04-12,2018-04-13,Total carbon,TC,M%,DIN ISO 10694,19
2.7.7.11,2,7,7,11,0.07,462691.8,5801721.3,1,4,4,2018-04-12,2018-04-13,Totoal nitrogen,TN,M%,DIN ISO 10694,19
2.7.7.12,2,7,7,12,7.8,462691.8,5801721.3,1,4,4,2018-04-12,2018-04-13,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",19
2.7.7.13,2,7,7,13,12.0,462691.8,5801721.3,1,4,4,2018-04-12,2018-04-13,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",19
2.7.7.14,2,7,7,14,4.4,462691.8,5801721.3,1,4,4,2018-04-12,2018-04-13,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR,19
2.8.8.9,2,8,8,9,1.48,462705.0,5801635.9,1,24,24,2021-04-13,2021-04-25,Soil organic carbon,SOC,M%,DIN ISO 10694,19
2.8.8.10,2,8,8,10,1.59,462705.0,5801635.9,1,24,24,2021-04-13,2021-04-25,Total carbon,TC,M%,DIN ISO 10694,19
2.8.8.11,2,8,8,11,0.15,462705.0,5801635.9,1,24,24,2021-04-13,2021-04-25,Totoal nitrogen,TN,M%,DIN ISO 10694,19
2.9.9.9,2,9,9,9,0.52,462730.7,5801696.1,1,24,24,2021-04-13,2021-04-25,Soil organic carbon,SOC,M%,DIN ISO 10694,19
2.9.9.10,2,9,9,10,0.56,462730.7,5801696.1,1,24,24,2021-04-13,2021-04-25,Total carbon,TC,M%,DIN ISO 10694,19
2.9.9.11,2,9,9,11,0.04,462730.7,5801696.1,1,24,24,2021-04-13,2021-04-25,Totoal nitrogen,TN,M%,DIN ISO 10694,19
2.10.10.1,2,10,10,1,30.34,462738.9,5801468.8,1,4,4,2018-04-12,2018-04-13,Clay,Cl,M%,DIN ISO 11277,19
2.10.10.2,2,10,10,2,5.56,462738.9,5801468.8,1,4,4,2018-04-12,2018-04-13,Fine silt,fSi,M%,DIN ISO 11277,19
2.10.10.3,2,10,10,3,8.61,462738.9,5801468.8,1,4,4,2018-04-12,2018-04-13,Middle silt,mSi,M%,DIN ISO 11277,19
2.10.10.4,2,10,10,4,3.94,462738.9,5801468.8,1,4,4,2018-04-12,2018-04-13,Coarse silt,cSi,M%,DIN ISO 11277,19
2.10.10.5,2,10,10,5,22.63,462738.9,5801468.8,1,4,4,2018-04-12,2018-04-13,Fine sand,fSa,M%,DIN ISO 11277,19
2.10.10.6,2,10,10,6,23.4,462738.9,5801468.8,1,4,4,2018-04-12,2018-04-13,Middle sand,mSa,M%,DIN ISO 11277,19
2.10.10.7,2,10,10,7,5.52,462738.9,5801468.8,1,4,4,2018-04-12,2018-04-13,Coarse sand,cSa,M%,DIN ISO 11277,19
