pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,dates_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
2.801.858.9,2,801,858,9,0.87,461352.8,5804657.7,23,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,10
2.801.858.10,2,801,858,10,0.88,461352.8,5804657.7,23,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,10
2.801.858.11,2,801,858,11,0.09,461352.8,5804657.7,23,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,10
2.802.859.9,2,802,859,9,1.48,461359.7,5804702.6,23,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,10
2.802.859.10,2,802,859,10,1.51,461359.7,5804702.6,23,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,10
2.802.859.11,2,802,859,11,0.13,461359.7,5804702.6,23,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,10
2.805.862.9,2,805,862,9,1.19,461464.1,5804558.1,23,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,10
2.805.862.10,2,805,862,10,1.25,461464.1,5804558.1,23,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,10
2.805.862.11,2,805,862,11,0.11,461464.1,5804558.1,23,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,10
2.806.863.9,2,806,863,9,0.85,461482.6,5804580.2,23,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,10
2.806.863.10,2,806,863,10,0.87,461482.6,5804580.2,23,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,10
2.806.863.11,2,806,863,11,0.07,461482.6,5804580.2,23,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,10
2.813.870.9,2,813,870,9,1.3,461563.0,5804580.0,23,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,10
2.813.870.10,2,813,870,10,1.31,461563.0,5804580.0,23,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,10
2.813.870.11,2,813,870,11,0.11,461563.0,5804580.0,23,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,10
2.814.871.9,2,814,871,9,0.99,461582.9,5804610.5,23,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,10
2.814.871.10,2,814,871,10,0.99,461582.9,5804610.5,23,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,10
2.814.871.11,2,814,871,11,0.08,461582.9,5804610.5,23,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,10
2.820.877.9,2,820,877,9,1.34,461663.1,5804672.5,23,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,10
2.820.877.10,2,820,877,10,1.4,461663.1,5804672.5,23,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,10
2.820.877.11,2,820,877,11,0.11,461663.1,5804672.5,23,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,10
2.822.879.9,2,822,879,9,1.38,461681.7,5804640.8,23,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,10
2.822.879.10,2,822,879,10,1.41,461681.7,5804640.8,23,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,10
2.822.879.11,2,822,879,11,0.11,461681.7,5804640.8,23,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,10
2.827.884.9,2,827,884,9,1.0,461244.3,5804673.8,24,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,10
2.827.884.10,2,827,884,10,1.01,461244.3,5804673.8,24,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,10
2.827.884.11,2,827,884,11,0.09,461244.3,5804673.8,24,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,10
2.828.885.9,2,828,885,9,0.86,461258.8,5804720.8,24,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,10
2.828.885.10,2,828,885,10,0.87,461258.8,5804720.8,24,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,10
2.828.885.11,2,828,885,11,0.08,461258.8,5804720.8,24,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,10
2.830.887.9,2,830,887,9,1.01,461263.3,5804768.1,24,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,10
2.830.887.10,2,830,887,10,1.03,461263.3,5804768.1,24,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,10
2.830.887.11,2,830,887,11,0.09,461263.3,5804768.1,24,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,10
2.833.890.9,2,833,890,9,0.97,461295.2,5804809.7,24,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,10
2.833.890.10,2,833,890,10,1.0,461295.2,5804809.7,24,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,10
2.833.890.11,2,833,890,11,0.08,461295.2,5804809.7,24,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,10
2.834.891.9,2,834,891,9,1.01,461314.1,5804895.0,24,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,10
2.834.891.10,2,834,891,10,1.04,461314.1,5804895.0,24,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,10
2.834.891.11,2,834,891,11,0.09,461314.1,5804895.0,24,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,10
2.835.892.9,2,835,892,9,1.41,461316.1,5804692.8,24,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,10
2.835.892.10,2,835,892,10,1.45,461316.1,5804692.8,24,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,10
2.835.892.11,2,835,892,11,0.13,461316.1,5804692.8,24,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,10
2.838.895.9,2,838,895,9,0.91,461395.5,5804866.7,24,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,10
2.838.895.10,2,838,895,10,0.93,461395.5,5804866.7,24,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,10
2.838.895.11,2,838,895,11,0.08,461395.5,5804866.7,24,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,10
2.841.898.9,2,841,898,9,1.67,461413.9,5804948.9,24,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,10
2.841.898.10,2,841,898,10,1.69,461413.9,5804948.9,24,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,10
2.841.898.11,2,841,898,11,0.16,461413.9,5804948.9,24,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,10
2.845.902.9,2,845,902,9,1.5,461435.6,5805057.8,24,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,10
2.845.902.10,2,845,902,10,1.52,461435.6,5805057.8,24,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,10
2.845.902.11,2,845,902,11,0.15,461435.6,5805057.8,24,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,10
2.847.904.9,2,847,904,9,1.73,461483.5,5804979.2,24,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,10
2.847.904.10,2,847,904,10,1.79,461483.5,5804979.2,24,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,10
2.847.904.11,2,847,904,11,0.17,461483.5,5804979.2,24,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,10
2.848.905.9,2,848,905,9,2.14,461484.3,5804921.5,24,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,10
2.848.905.10,2,848,905,10,2.14,461484.3,5804921.5,24,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,10
2.848.905.11,2,848,905,11,0.21,461484.3,5804921.5,24,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,10
2.849.906.9,2,849,906,9,1.82,461495.3,5804965.1,24,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,10
2.849.906.10,2,849,906,10,1.83,461495.3,5804965.1,24,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,10
2.849.906.11,2,849,906,11,0.18,461495.3,5804965.1,24,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,10
